Interests,Budget Range,Travel Type,Accommodation Preference,Transport Preferences,Preferred Locations,Activities
"Relaxation, Adventure, Culture",Low,Group,Budget,Rental Car,"Arugambay, Dambulla, Arugambay, Mirissa, Nuwara Eliya, Kalutara",Surf in Arugambay; Explore Dambulla Cave Temple; Surf in Arugambay; Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya; Visit Kalutara Bodhiya
"Beach, Relaxation, Wildlife",Medium,Family,Luxury,Bus,"Bentota, Galle, Kalutara, Colombo, Ella, Kandy, Sinharaja, Udawalawa",Jet skiing in Bentota; Explore Dutch Fort in Galle; Visit Kalutara Bodhiya; Visit a Gangaramaya Temple; Hike Ella Rock; Visit the Temple of the Sacred Tooth Relic; Trek in Sinharaja Rainforest; Elephant watching in Udawalawa
Adventure,High,Family,Budget,Bus,"Sinharaja, Nuwara Eliya, Mirissa",Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa
"Relaxation, Culture, Beach",Medium,Family,Luxury,Rental Car,"Mirissa, Ella, Unawatuna, Mihintale, Colombo, Galle, Pasikudah, Matara",Go whale watching in Mirissa; Hike Ella Rock; Relax at Unawatuna Beach; Climb Mihintale Rock Temple; Visit a Gangaramaya Temple; Explore Dutch Fort in Galle; Enjoy snorkeling in Pasikudah; Visit Parey Dewa in Matara
Relaxation,Low,Family,Budget,Bus,"Weligama, Kandy",Take surfing lessons in Weligama; Visit the Temple of the Sacred Tooth Relic
Relaxation,Low,Group,Luxury,Bus,"Matara, Nuwara Eliya",Visit Parey Dewa in Matara; Tour tea plantations in Nuwara Eliya
"Relaxation, Culture, Wildlife",High,Solo,Luxury,Bus,"Kandy, Colombo, Mihintale, Kalutara, Wilpattu, Sinharaja",Visit the Temple of the Sacred Tooth Relic; Visit a Gangaramaya Temple; Climb Mihintale Rock Temple; Visit Kalutara Bodhiya; Explore Wilpattu National Park; Trek in Sinharaja Rainforest
"Wildlife, Beach",Medium,Family,Luxury,Rental Car,"Yala, Dickwella, Hambanthota, Unawatuna",Safari in Yala National Park; Visit the Beach; Explore Bundala National Park; Relax at Unawatuna Beach
"Culture, Adventure",Low,Solo,Eco-friendly,Train,"Ratnapura, Galle, Mirissa, Nuwara Eliya, Hikkaduwa",Visit gem mines in Ratnapura; Explore Dutch Fort in Galle; Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya; Snorkel in Hikkaduwa
Beach,Low,Group,Budget,Train,"Galle, Puttalam, Negombo",Explore Dutch Fort in Galle; Birdwatch at Puttalam Lagoon; Relax on Negombo Beach
"Adventure, Relaxation, Beach",High,Family,Luxury,Bus,"Unawatuna, Kandy, Hambanthota, Unawatuna",Relax at Unawatuna Beach; Visit the Temple of the Sacred Tooth Relic; Explore Bundala National Park; Relax at Unawatuna Beach
"Relaxation, Culture, Wildlife",Low,Solo,Luxury,Train,"Nuwara Eliya, Negombo, Anuradhapura, Trincomalee, Ratnapura, Udawalawa, Sinharaja, Wilpattu",Tour tea plantations in Nuwara Eliya; Relax on Negombo Beach; Visit ancient stupas in Anuradhapura; Snorkel at Pigeon Island; Visit gem mines in Ratnapura; Elephant watching in Udawalawa; Trek in Sinharaja Rainforest; Explore Wilpattu National Park
Wildlife,High,Group,Budget,Train,Sinharaja,Trek in Sinharaja Rainforest
"Culture, Beach",High,Family,Luxury,Bus,"Mihintale, Ratnapura, Koggala, Pasikudah, Tangalle, Negombo",Climb Mihintale Rock Temple; Visit gem mines in Ratnapura; Relax at Koggala Beach; Enjoy snorkeling in Pasikudah; Relax at Tangalle Beach; Relax on Negombo Beach
"Adventure, Beach",Low,Group,Luxury,Bus,"Sinharaja, Mirissa, Unawatuna, Hikkaduwa, Tangalle, Hambanthota",Trek in Sinharaja Rainforest; Go whale watching in Mirissa; Relax at Unawatuna Beach; Snorkel in Hikkaduwa; Relax at Tangalle Beach; Explore Bundala National Park
"Wildlife, Beach, Adventure",Low,Group,Eco-friendly,Train,"Wilpattu, Habarana, Udawalawa, Arugambay, Nuwara Eliya, Hikkaduwa, Mirissa",Explore Wilpattu National Park; Safari in Habarana; Elephant watching in Udawalawa; Surf in Arugambay; Tour tea plantations in Nuwara Eliya; Snorkel in Hikkaduwa; Go whale watching in Mirissa
Wildlife,Medium,Family,Luxury,Train,Habarana,Safari in Habarana
Culture,High,Group,Eco-friendly,Bus,"Mihintale, Galle",Climb Mihintale Rock Temple; Explore Dutch Fort in Galle
"Relaxation, Adventure, Beach",Medium,Solo,Eco-friendly,Bus,"Colombo, Kandy, Ella, Nuwara Eliya, Mirissa, Ella, Unawatuna, Negombo, Arugambay",Visit a Gangaramaya Temple; Visit the Temple of the Sacred Tooth Relic; Hike Ella Rock; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa; Hike Ella Rock; Relax at Unawatuna Beach; Relax on Negombo Beach; Surf in Arugambay
"Culture, Adventure",Low,Solo,Budget,Bus,"Sigiriya, Unawatuna",Visit Sigiriya Rock Fortress; Relax at Unawatuna Beach
Relaxation,Medium,Solo,Eco-friendly,Bus,"Matara, Hambanthota",Visit Parey Dewa in Matara; Explore Bundala National Park
Relaxation,Low,Family,Eco-friendly,Bus,Unawatuna,Relax at Unawatuna Beach
"Culture, Beach, Wildlife",Low,Family,Eco-friendly,Bus,"Kalutara, Dambulla, Mihintale, Negombo, Dickwella, Bentota, Udawalawa, Yala, Habarana",Visit Kalutara Bodhiya; Explore Dambulla Cave Temple; Climb Mihintale Rock Temple; Relax on Negombo Beach; Visit the Beach; Jet skiing in Bentota; Elephant watching in Udawalawa; Safari in Yala National Park; Safari in Habarana
Relaxation,Low,Group,Eco-friendly,Train,"Koggala, Arugambay",Relax at Koggala Beach; Surf in Arugambay
"Culture, Wildlife, Adventure",Low,Solo,Budget,Rental Car,"Kandy, Wilpattu, Minneriya, Sinharaja, Unawatuna, Arugambay",Visit the Temple of the Sacred Tooth Relic; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Trek in Sinharaja Rainforest; Relax at Unawatuna Beach; Surf in Arugambay
"Adventure, Culture",Medium,Solo,Budget,Rental Car,"Unawatuna, Nuwara Eliya, Sinharaja, Trincomalee, Galle",Relax at Unawatuna Beach; Tour tea plantations in Nuwara Eliya; Trek in Sinharaja Rainforest; Snorkel at Pigeon Island; Explore Dutch Fort in Galle
Culture,High,Family,Luxury,Train,Mihintale,Climb Mihintale Rock Temple
"Beach, Culture, Adventure",High,Group,Budget,Rental Car,"Hikkaduwa, Unawatuna, Mirissa, Colombo, Koggala, Ella, Nuwara Eliya, Hikkaduwa",Snorkel in Hikkaduwa; Relax at Unawatuna Beach; Go whale watching in Mirissa; Visit a Gangaramaya Temple; Relax at Koggala Beach; Hike Ella Rock; Tour tea plantations in Nuwara Eliya; Snorkel in Hikkaduwa
"Wildlife, Beach, Relaxation",Medium,Family,Eco-friendly,Rental Car,"Habarana, Sinharaja, Minneriya, Galle, Negombo",Safari in Habarana; Trek in Sinharaja Rainforest; Visit the elephant gathering in Minneriya; Explore Dutch Fort in Galle; Relax on Negombo Beach
"Beach, Relaxation, Wildlife",Low,Solo,Budget,Bus,"Matara, Nuwara Eliya, Udawalawa, Sinharaja",Visit Parey Dewa in Matara; Tour tea plantations in Nuwara Eliya; Elephant watching in Udawalawa; Trek in Sinharaja Rainforest
"Relaxation, Wildlife, Adventure",Low,Group,Luxury,Bus,"Nuwara Eliya, Habarana, Wilpattu, Hikkaduwa",Tour tea plantations in Nuwara Eliya; Safari in Habarana; Explore Wilpattu National Park; Snorkel in Hikkaduwa
"Beach, Wildlife, Relaxation",Low,Solo,Luxury,Rental Car,"Matara, Sinharaja, Udawalawa, Habarana, Weligama, Ella, Kandy",Visit Parey Dewa in Matara; Trek in Sinharaja Rainforest; Elephant watching in Udawalawa; Safari in Habarana; Take surfing lessons in Weligama; Hike Ella Rock; Visit the Temple of the Sacred Tooth Relic
"Wildlife, Beach, Culture",High,Group,Eco-friendly,Bus,"Sinharaja, Tangalle, Galle, Unawatuna, Sigiriya, Anuradhapura",Trek in Sinharaja Rainforest; Relax at Tangalle Beach; Explore Dutch Fort in Galle; Relax at Unawatuna Beach; Visit Sigiriya Rock Fortress; Visit ancient stupas in Anuradhapura
Culture,High,Group,Eco-friendly,Train,"Polonnaruwa, Sigiriya, Mihintale",Explore ancient ruins in Polonnaruwa; Visit Sigiriya Rock Fortress; Climb Mihintale Rock Temple
"Adventure, Culture",High,Family,Budget,Rental Car,"Hikkaduwa, Nuwara Eliya, Sinharaja, Polonnaruwa, Kalutara",Snorkel in Hikkaduwa; Tour tea plantations in Nuwara Eliya; Trek in Sinharaja Rainforest; Explore ancient ruins in Polonnaruwa; Visit Kalutara Bodhiya
Wildlife,Low,Solo,Budget,Train,"Yala, Sinharaja, Udawalawa",Safari in Yala National Park; Trek in Sinharaja Rainforest; Elephant watching in Udawalawa
"Relaxation, Adventure, Wildlife",Medium,Solo,Eco-friendly,Bus,"Ella, Negombo, Arugambay, Mirissa, Nuwara Eliya, Udawalawa",Hike Ella Rock; Relax on Negombo Beach; Surf in Arugambay; Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya; Elephant watching in Udawalawa
"Beach, Wildlife, Culture",Low,Group,Luxury,Train,"Tangalle, Matara, Minneriya, Udawalawa, Anuradhapura, Ratnapura",Relax at Tangalle Beach; Visit Parey Dewa in Matara; Visit the elephant gathering in Minneriya; Elephant watching in Udawalawa; Visit ancient stupas in Anuradhapura; Visit gem mines in Ratnapura
"Relaxation, Beach",High,Group,Eco-friendly,Rental Car,"Mirissa, Nuwara Eliya, Arugambay, Matara",Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya; Surf in Arugambay; Visit Parey Dewa in Matara
Adventure,Low,Group,Luxury,Train,"Sinharaja, Mirissa, Nuwara Eliya",Trek in Sinharaja Rainforest; Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya
"Adventure, Beach",High,Family,Budget,Train,"Unawatuna, Hikkaduwa, Nuwara Eliya, Kalutara, Tangalle, Pasikudah",Relax at Unawatuna Beach; Snorkel in Hikkaduwa; Tour tea plantations in Nuwara Eliya; Visit Kalutara Bodhiya; Relax at Tangalle Beach; Enjoy snorkeling in Pasikudah
"Beach, Wildlife",Medium,Solo,Luxury,Train,"Dickwella, Negombo, Wilpattu, Udawalawa, Habarana",Visit the Beach; Relax on Negombo Beach; Explore Wilpattu National Park; Elephant watching in Udawalawa; Safari in Habarana
"Beach, Adventure",Medium,Group,Luxury,Bus,"Dickwella, Galle, Mirissa, Sinharaja",Visit the Beach; Explore Dutch Fort in Galle; Go whale watching in Mirissa; Trek in Sinharaja Rainforest
Culture,High,Family,Eco-friendly,Rental Car,Colombo,Visit a Gangaramaya Temple
Wildlife,High,Family,Budget,Train,"Minneriya, Habarana",Visit the elephant gathering in Minneriya; Safari in Habarana
"Beach, Culture, Adventure",Low,Group,Luxury,Bus,"Mirissa, Pasikudah, Tangalle, Jaffna, Galle, Dambulla, Hikkaduwa, Unawatuna, Nuwara Eliya",Go whale watching in Mirissa; Enjoy snorkeling in Pasikudah; Relax at Tangalle Beach; Visit Jaffna Fort; Explore Dutch Fort in Galle; Explore Dambulla Cave Temple; Snorkel in Hikkaduwa; Relax at Unawatuna Beach; Tour tea plantations in Nuwara Eliya
"Relaxation, Culture",High,Family,Luxury,Rental Car,"Dambulla, Nuwara Eliya, Kalutara, Mihintale",Explore Dambulla Cave Temple; Tour tea plantations in Nuwara Eliya; Visit Kalutara Bodhiya; Climb Mihintale Rock Temple
"Relaxation, Adventure, Beach",Medium,Family,Eco-friendly,Bus,"Mirissa, Unawatuna, Mirissa, Unawatuna",Go whale watching in Mirissa; Relax at Unawatuna Beach; Go whale watching in Mirissa; Relax at Unawatuna Beach
Adventure,Low,Solo,Eco-friendly,Rental Car,"Nuwara Eliya, Mirissa, Hikkaduwa",Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa; Snorkel in Hikkaduwa
"Culture, Relaxation, Beach",High,Group,Budget,Train,"Polonnaruwa, Kalutara, Kandy, Colombo, Mirissa, Hikkaduwa",Explore ancient ruins in Polonnaruwa; Visit Kalutara Bodhiya; Visit the Temple of the Sacred Tooth Relic; Visit a Gangaramaya Temple; Go whale watching in Mirissa; Snorkel in Hikkaduwa
"Adventure, Relaxation",Low,Group,Luxury,Bus,"Arugambay, Arugambay, Weligama, Matara",Surf in Arugambay; Surf in Arugambay; Take surfing lessons in Weligama; Visit Parey Dewa in Matara
"Culture, Adventure, Relaxation",High,Solo,Eco-friendly,Rental Car,"Colombo, Koggala, Mirissa, Ella, Nuwara Eliya, Nuwara Eliya, Hatton, Arugambay",Visit a Gangaramaya Temple; Relax at Koggala Beach; Go whale watching in Mirissa; Hike Ella Rock; Tour tea plantations in Nuwara Eliya; Tour tea plantations in Nuwara Eliya; Hike Adam’s Peak; Surf in Arugambay
"Wildlife, Adventure",High,Family,Luxury,Bus,"Yala, Minneriya, Udawalawa, Arugambay, Hikkaduwa",Safari in Yala National Park; Visit the elephant gathering in Minneriya; Elephant watching in Udawalawa; Surf in Arugambay; Snorkel in Hikkaduwa
"Relaxation, Adventure",Medium,Family,Luxury,Rental Car,"Weligama, Ella, Hikkaduwa",Take surfing lessons in Weligama; Hike Ella Rock; Snorkel in Hikkaduwa
"Beach, Culture",Low,Group,Luxury,Train,"Puttalam, Bentota, Hambanthota, Kandy, Anuradhapura",Birdwatch at Puttalam Lagoon; Jet skiing in Bentota; Explore Bundala National Park; Visit the Temple of the Sacred Tooth Relic; Visit ancient stupas in Anuradhapura
"Adventure, Wildlife",Medium,Family,Budget,Rental Car,"Mirissa, Unawatuna, Nuwara Eliya, Sinharaja",Go whale watching in Mirissa; Relax at Unawatuna Beach; Tour tea plantations in Nuwara Eliya; Trek in Sinharaja Rainforest
"Culture, Beach, Relaxation",Medium,Solo,Budget,Train,"Ratnapura, Colombo, Koggala, Arugambay, Galle, Matara, Nuwara Eliya, Ella",Visit gem mines in Ratnapura; Visit a Gangaramaya Temple; Relax at Koggala Beach; Surf in Arugambay; Explore Dutch Fort in Galle; Visit Parey Dewa in Matara; Tour tea plantations in Nuwara Eliya; Hike Ella Rock
Beach,High,Family,Budget,Bus,"Matara, Mirissa",Visit Parey Dewa in Matara; Go whale watching in Mirissa
"Culture, Wildlife",Medium,Group,Eco-friendly,Rental Car,"Galle, Minneriya",Explore Dutch Fort in Galle; Visit the elephant gathering in Minneriya
Adventure,Low,Solo,Budget,Bus,"Mirissa, Sinharaja",Go whale watching in Mirissa; Trek in Sinharaja Rainforest
"Culture, Relaxation, Beach",Medium,Group,Luxury,Rental Car,"Koggala, Colombo, Nuwara Eliya, Ella, Negombo, Pasikudah, Hambanthota",Relax at Koggala Beach; Visit a Gangaramaya Temple; Tour tea plantations in Nuwara Eliya; Hike Ella Rock; Relax on Negombo Beach; Enjoy snorkeling in Pasikudah; Explore Bundala National Park
"Beach, Wildlife, Culture",Medium,Group,Budget,Rental Car,"Matara, Sinharaja, Minneriya, Sigiriya, Ratnapura, Polonnaruwa",Visit Parey Dewa in Matara; Trek in Sinharaja Rainforest; Visit the elephant gathering in Minneriya; Visit Sigiriya Rock Fortress; Visit gem mines in Ratnapura; Explore ancient ruins in Polonnaruwa
Beach,High,Solo,Luxury,Rental Car,"Unawatuna, Puttalam",Relax at Unawatuna Beach; Birdwatch at Puttalam Lagoon
"Wildlife, Relaxation",High,Family,Luxury,Train,"Minneriya, Yala, Galle, Hambanthota, Koggala",Visit the elephant gathering in Minneriya; Safari in Yala National Park; Explore Dutch Fort in Galle; Explore Bundala National Park; Relax at Koggala Beach
Relaxation,Low,Group,Budget,Train,"Negombo, Kalutara, Koggala",Relax on Negombo Beach; Visit Kalutara Bodhiya; Relax at Koggala Beach
"Relaxation, Adventure",Low,Family,Budget,Rental Car,"Nuwara Eliya, Kalutara, Arugambay",Tour tea plantations in Nuwara Eliya; Visit Kalutara Bodhiya; Surf in Arugambay
"Adventure, Beach, Culture",High,Family,Luxury,Rental Car,"Sinharaja, Nuwara Eliya, Unawatuna, Kalutara, Bentota, Trincomalee, Dambulla",Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach; Visit Kalutara Bodhiya; Jet skiing in Bentota; Snorkel at Pigeon Island; Explore Dambulla Cave Temple
"Wildlife, Culture",Low,Solo,Luxury,Rental Car,"Habarana, Galle, Trincomalee",Safari in Habarana; Explore Dutch Fort in Galle; Snorkel at Pigeon Island
Wildlife,Low,Family,Budget,Bus,Habarana,Safari in Habarana
"Wildlife, Beach",Medium,Group,Budget,Bus,"Yala, Tangalle",Safari in Yala National Park; Relax at Tangalle Beach
Beach,Low,Solo,Budget,Bus,"Arugambay, Pasikudah",Surf in Arugambay; Enjoy snorkeling in Pasikudah
"Beach, Relaxation, Adventure",Medium,Family,Luxury,Rental Car,"Hambanthota, Arugambay, Ella, Nuwara Eliya",Explore Bundala National Park; Surf in Arugambay; Hike Ella Rock; Tour tea plantations in Nuwara Eliya
"Wildlife, Adventure, Culture",Low,Family,Eco-friendly,Bus,"Minneriya, Udawalawa, Yala, Nuwara Eliya, Mirissa, Dambulla, Jaffna, Trincomalee",Visit the elephant gathering in Minneriya; Elephant watching in Udawalawa; Safari in Yala National Park; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa; Explore Dambulla Cave Temple; Visit Jaffna Fort; Snorkel at Pigeon Island
"Relaxation, Adventure",High,Family,Luxury,Train,"Weligama, Colombo, Mirissa, Ella, Hikkaduwa",Take surfing lessons in Weligama; Visit a Gangaramaya Temple; Go whale watching in Mirissa; Hike Ella Rock; Snorkel in Hikkaduwa
Relaxation,High,Family,Eco-friendly,Train,Ella,Hike Ella Rock
"Beach, Adventure, Relaxation",Low,Solo,Luxury,Rental Car,"Arugambay, Nuwara Eliya, Ella, Ella, Hambanthota",Surf in Arugambay; Tour tea plantations in Nuwara Eliya; Hike Ella Rock; Hike Ella Rock; Explore Bundala National Park
"Wildlife, Culture",High,Solo,Budget,Bus,"Yala, Colombo",Safari in Yala National Park; Visit a Gangaramaya Temple
"Beach, Wildlife, Relaxation",High,Group,Budget,Train,"Jaffna, Udawalawa, Minneriya, Wilpattu, Dambulla, Hambanthota",Visit Jaffna Fort; Elephant watching in Udawalawa; Visit the elephant gathering in Minneriya; Explore Wilpattu National Park; Explore Dambulla Cave Temple; Explore Bundala National Park
"Culture, Beach",Medium,Family,Budget,Bus,"Kalutara, Kalutara, Mirissa, Bentota",Visit Kalutara Bodhiya; Visit Kalutara Bodhiya; Go whale watching in Mirissa; Jet skiing in Bentota
Relaxation,Medium,Group,Budget,Train,Matara,Visit Parey Dewa in Matara
"Culture, Adventure",Medium,Group,Budget,Bus,"Koggala, Jaffna, Ella, Mirissa, Unawatuna",Relax at Koggala Beach; Visit Jaffna Fort; Hike Ella Rock; Go whale watching in Mirissa; Relax at Unawatuna Beach
"Culture, Relaxation",Low,Group,Eco-friendly,Bus,"Colombo, Koggala, Matara",Visit a Gangaramaya Temple; Relax at Koggala Beach; Visit Parey Dewa in Matara
"Beach, Adventure",Medium,Solo,Budget,Rental Car,"Hikkaduwa, Negombo, Unawatuna",Snorkel in Hikkaduwa; Relax on Negombo Beach; Relax at Unawatuna Beach
"Beach, Relaxation",Medium,Family,Luxury,Train,"Arugambay, Colombo",Surf in Arugambay; Visit a Gangaramaya Temple
"Wildlife, Relaxation, Beach",High,Solo,Eco-friendly,Train,"Habarana, Kandy, Unawatuna, Tangalle, Negombo, Mirissa",Safari in Habarana; Visit the Temple of the Sacred Tooth Relic; Relax at Unawatuna Beach; Relax at Tangalle Beach; Relax on Negombo Beach; Go whale watching in Mirissa
"Relaxation, Adventure",Medium,Family,Eco-friendly,Rental Car,"Dambulla, Matara, Unawatuna, Hikkaduwa",Explore Dambulla Cave Temple; Visit Parey Dewa in Matara; Relax at Unawatuna Beach; Snorkel in Hikkaduwa
"Wildlife, Relaxation",Low,Solo,Eco-friendly,Bus,"Habarana, Udawalawa, Minneriya, Matara, Weligama, Galle",Safari in Habarana; Elephant watching in Udawalawa; Visit the elephant gathering in Minneriya; Visit Parey Dewa in Matara; Take surfing lessons in Weligama; Explore Dutch Fort in Galle
"Relaxation, Culture",Medium,Group,Eco-friendly,Train,"Galle, Negombo, Matara, Colombo",Explore Dutch Fort in Galle; Relax on Negombo Beach; Visit Parey Dewa in Matara; Visit a Gangaramaya Temple
"Beach, Relaxation",Medium,Solo,Budget,Bus,"Arugambay, Hikkaduwa, Unawatuna, Negombo, Hambanthota, Arugambay",Surf in Arugambay; Snorkel in Hikkaduwa; Relax at Unawatuna Beach; Relax on Negombo Beach; Explore Bundala National Park; Surf in Arugambay
"Culture, Adventure",High,Solo,Budget,Rental Car,"Jaffna, Anuradhapura, Dambulla, Mirissa, Ella",Visit Jaffna Fort; Visit ancient stupas in Anuradhapura; Explore Dambulla Cave Temple; Go whale watching in Mirissa; Hike Ella Rock
"Beach, Culture",Low,Group,Eco-friendly,Train,"Matara, Jaffna, Kalutara",Visit Parey Dewa in Matara; Visit Jaffna Fort; Visit Kalutara Bodhiya
Culture,Medium,Family,Budget,Rental Car,Trincomalee,Snorkel at Pigeon Island
"Wildlife, Culture",Low,Group,Budget,Train,"Wilpattu, Habarana, Minneriya, Galle",Explore Wilpattu National Park; Safari in Habarana; Visit the elephant gathering in Minneriya; Explore Dutch Fort in Galle
"Culture, Wildlife, Adventure",Medium,Solo,Luxury,Bus,"Koggala, Wilpattu, Minneriya, Hikkaduwa",Relax at Koggala Beach; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Snorkel in Hikkaduwa
